case_id,expected_class,final_pred_class,correct,final_valid,samples_driven,final_mem_NSR,final_mem_CHF,final_mem_ARR,final_mem_AFF,cycles,prof_total_cycles,prof_busy_cycles,prof_run_cycles,prof_input_wait_cycles,prof_accepted_samples,prof_windows,prof_decisions,prof_last_window_latency,prof_max_window_latency,prof_last_decision_latency
1000,2,2,1,1,1800000,8,1,21,0,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1001,2,2,1,1,1800000,10,0,20,0,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1002,2,2,1,1,1800000,2,4,24,0,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1003,2,2,1,1,1800000,9,1,20,0,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1004,0,0,1,1,1800000,30,0,0,0,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1005,0,0,1,1,1800000,30,0,0,0,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1006,0,1,0,1,1800000,0,25,5,0,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1007,0,0,1,1,1800000,30,0,0,0,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1008,1,1,1,1,1800000,0,29,0,1,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1009,1,1,1,1,1800000,0,29,0,1,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1010,1,1,1,1,1800000,0,28,0,2,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1011,1,1,1,1,1800000,0,29,0,1,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1012,3,3,1,1,1800000,0,0,0,30,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1013,3,3,1,1,1800000,0,0,0,30,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1014,3,3,1,1,1800000,0,0,0,30,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
1015,3,3,1,1,1800000,0,0,0,30,3601293,3601290,3601290,3599970,0,1800000,30,1,120039,120039,3601290
