dataset,class_label,record_id,n_samples,full_min,full_max,full_clip,full_clip_ratio,body_min,body_max,body_clip,body_clip_ratio
fullrec_DB_127,AFF,06426,36823040,588,3158,0,0.0,588,3158,0,0.0
fullrec_DB_127,AFF,07859,36823040,1672,2398,0,0.0,1672,2398,0,0.0
fullrec_DB_127,ARR,114,1805555,1516,3414,0,0.0,1516,2403,0,0.0
fullrec_DB_127,ARR,124,1805555,1534,3156,0,0.0,1534,2674,0,0.0
fullrec_DB_127,ARR,200,1805555,1462,3520,0,0.0,1462,2553,0,0.0
fullrec_DB_127,ARR,208,1805555,1562,3397,0,0.0,1562,2800,0,0.0
fullrec_DB_127,ARR,x_124,600000,1556,3156,0,0.0,1556,2674,0,0.0
fullrec_DB_127,CHF,chf05,71208960,920,3086,0,0.0,920,3086,0,0.0
fullrec_DB_127,CHF,chf11,71995392,103,3842,0,0.0,103,3842,0,0.0
fullrec_DB_127,CHF,chf14,71995392,960,2954,0,0.0,960,2954,0,0.0
fullrec_DB_127,NSR,19090,87056000,1741,2455,0,0.0,1741,2455,0,0.0
fullrec_DB_127,AFF,04048,36823040,529,2955,0,0.0,529,2955,0,0.0
fullrec_DB_127,AFF,04746,36823040,904,2934,0,0.0,904,2934,0,0.0
fullrec_DB_127,AFF,04908,36823040,1015,2759,0,0.0,1015,2759,0,0.0
fullrec_DB_127,AFF,04936,36823040,1357,2910,0,0.0,1357,2910,0,0.0
fullrec_DB_127,AFF,05121,36823040,375,3776,0,0.0,375,3776,0,0.0
fullrec_DB_127,AFF,05261,36823040,1320,2780,0,0.0,1320,2780,0,0.0
fullrec_DB_127,AFF,06453,33300000,1441,2680,0,0.0,1441,2680,0,0.0
fullrec_DB_127,AFF,06995,36823040,1354,2610,0,0.0,1354,2610,0,0.0
fullrec_DB_127,AFF,07879,36823040,1072,2941,0,0.0,1072,2941,0,0.0
fullrec_DB_127,AFF,07910,36823040,1503,2470,0,0.0,1503,2470,0,0.0
fullrec_DB_127,ARR,104,1805555,1769,3407,0,0.0,1769,2552,0,0.0
fullrec_DB_127,ARR,107,1805555,1313,3038,0,0.0,1313,2966,0,0.0
fullrec_DB_127,ARR,118,1805555,1483,3201,0,0.0,1483,2559,0,0.0
fullrec_DB_127,ARR,201,1805555,1871,3356,0,0.0,1871,2353,0,0.0
fullrec_DB_127,ARR,205,1805555,1611,3310,0,0.0,1611,2416,0,0.0
fullrec_DB_127,CHF,chf03,71995392,1345,2774,0,0.0,1345,2774,0,0.0
