model,split,actual,NSR,CHF,ARR,AFF
Model_A_plus,train,NSR,10,1,0,0
Model_A_plus,train,CHF,0,8,0,1
Model_A_plus,train,ARR,1,1,15,3
Model_A_plus,train,AFF,0,1,1,8
Model_S_EERG,train,NSR,10,1,0,0
Model_S_EERG,train,CHF,0,8,0,1
Model_S_EERG,train,ARR,1,1,15,3
Model_S_EERG,train,AFF,0,1,1,8
Model_A_plus,val,NSR,4,0,0,0
Model_A_plus,val,CHF,0,3,0,0
Model_A_plus,val,ARR,0,0,8,0
Model_A_plus,val,AFF,0,0,2,3
Model_S_EERG,val,NSR,4,0,0,0
Model_S_EERG,val,CHF,0,3,0,0
Model_S_EERG,val,ARR,0,0,8,0
Model_S_EERG,val,AFF,0,0,2,3
Model_A_plus,test,NSR,3,0,0,0
Model_A_plus,test,CHF,0,3,0,0
Model_A_plus,test,ARR,0,0,7,2
Model_A_plus,test,AFF,0,0,0,4
Model_S_EERG,test,NSR,3,0,0,0
Model_S_EERG,test,CHF,0,3,0,0
Model_S_EERG,test,ARR,0,0,8,1
Model_S_EERG,test,AFF,0,0,0,4
