model,split,actual,NSR,CHF,ARR,AFF
Model_A_plus,train,NSR,85,7,6,2
Model_A_plus,train,CHF,4,76,8,12
Model_A_plus,train,ARR,13,4,70,13
Model_A_plus,train,AFF,1,6,11,82
Model_S_EERG,train,NSR,85,7,6,2
Model_S_EERG,train,CHF,4,76,8,12
Model_S_EERG,train,ARR,13,4,70,13
Model_S_EERG,train,AFF,1,6,11,82
Model_A_plus,val,NSR,36,0,4,0
Model_A_plus,val,CHF,3,31,2,4
Model_A_plus,val,ARR,1,0,38,1
Model_A_plus,val,AFF,1,3,5,31
Model_S_EERG,val,NSR,36,0,4,0
Model_S_EERG,val,CHF,3,31,2,4
Model_S_EERG,val,ARR,1,0,38,1
Model_S_EERG,val,AFF,1,3,5,31
Model_A_plus,test,NSR,31,0,9,0
Model_A_plus,test,CHF,0,37,3,0
Model_A_plus,test,ARR,6,0,26,8
Model_A_plus,test,AFF,0,3,2,35
Model_S_EERG,test,NSR,31,0,9,0
Model_S_EERG,test,CHF,0,37,3,0
Model_S_EERG,test,ARR,6,0,28,6
Model_S_EERG,test,AFF,0,3,2,35
