test_id,variant,source_schematic,simulation_type,metric,target,measured,unit,deviation,status,evidence_path,notes
AC_HPF,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,-3dB_cutoff,0.4823,0.48117373372,Hz,-0.233519858996,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,"V(HPF_P,HPF_N)/V(INP_RAW,INN_RAW)"
AC_HPF,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_1Hz,,0.900717635574,V/V,,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,"V(HPF_P,HPF_N)/V(INP_RAW,INN_RAW)"
AC_HPF,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_10Hz,,0.998839017795,V/V,,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,"V(HPF_P,HPF_N)/V(INP_RAW,INN_RAW)"
AC_IA,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_10Hz,201,200.593696469,V/V,-0.202141060342,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,"V(IA_OUT)/V(HPF_P,HPF_N)"
AC_IA,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_10Hz_db,,46.0463456293,dB,,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,
AC_LPF,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,-3dB_cutoff,150.15,150.210889518,Hz,0.0405524592468,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,V(AFE_OUT)/V(LPF_IN)
AC_LPF,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_10Hz,,0.997782631384,V/V,,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,
AC_LPF,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_60Hz,,0.928590152373,V/V,,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,
AC_LPF,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_150Hz,,0.70744223838,V/V,,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,
AC_LPF,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_1000Hz,,0.148480807709,V/V,,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,
AC_FULL_AFE,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_0.1Hz,,40.7253234331,V/V,,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,"V(AFE_OUT)/V(INP_RAW,INN_RAW)"
AC_FULL_AFE,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_1Hz,,180.670797287,V/V,,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,"V(AFE_OUT)/V(INP_RAW,INN_RAW)"
AC_FULL_AFE,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_10Hz,,199.797712397,V/V,,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,"V(AFE_OUT)/V(INP_RAW,INN_RAW)"
AC_FULL_AFE,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_60Hz,,0.593598757066,V/V,,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,"V(AFE_OUT)/V(INP_RAW,INN_RAW)"
AC_FULL_AFE,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_150Hz,,141.266804782,V/V,,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,"V(AFE_OUT)/V(INP_RAW,INN_RAW)"
AC_FULL_AFE,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_ac_nominal.cir,AC,gain_at_1000Hz,,29.7819315773,V/V,,MEASURED,results/xmodel_aligned/raw/xma_ac_nominal.raw,"V(AFE_OUT)/V(INP_RAW,INN_RAW)"
AC_NOTCH,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_notch_fine.cir,AC,attenuation_at_60Hz,,-83.5570111083,dB,,MEASURED,results/xmodel_aligned/raw/xma_notch_fine.raw,V(NOTCH_OUT)/V(NOTCH_IN)=V(LPF_IN)/V(IA_OUT)
AC_NOTCH,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_notch_fine.cir,AC,minimum_frequency,60,59.9995,Hz,-0.000833333333337,MEASURED,results/xmodel_aligned/raw/xma_notch_fine.raw,search window 55-65 Hz
AC_NOTCH,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_notch_fine.cir,AC,minimum_attenuation,,-95.4349133164,dB,,MEASURED,results/xmodel_aligned/raw/xma_notch_fine.raw,search window 55-65 Hz
AC_NOTCH,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_notch_fine.cir,AC,maximum_gain_in_55_65Hz,,0.656756110213,V/V,,MEASURED,results/xmodel_aligned/raw/xma_notch_fine.raw,peaking diagnostic; no arbitrary Q claim
