test_id,variant,source_schematic,simulation_type,metric,target,measured,unit,deviation,status,evidence_path,notes
STRESS_dc_p10m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p10m.cir,TRAN,signed_code_min,,-67,code,,MEASURED,results/xmodel_aligned/raw/xma_dc_p10m.raw,reference=aligned nominal
STRESS_dc_p10m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p10m.cir,TRAN,signed_code_max,,2046,code,,MEASURED,results/xmodel_aligned/raw/xma_dc_p10m.raw,reference=aligned nominal
STRESS_dc_p10m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p10m.cir,TRAN,clip_count_total,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_dc_p10m.raw,reference=aligned nominal
STRESS_dc_p10m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p10m.cir,TRAN,clip_count_after_2s,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_dc_p10m.raw,reference=aligned nominal
STRESS_dc_p10m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p10m.cir,TRAN,mean_code_difference_after_2s,,0.646666666667,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p10m.raw,reference=aligned nominal
STRESS_dc_p10m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p10m.cir,TRAN,mae_code_difference_after_2s,,0.646666666667,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p10m.raw,reference=aligned nominal
STRESS_dc_p10m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p10m.cir,TRAN,rms_code_difference_after_2s,,1.40095205723,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p10m.raw,reference=aligned nominal
STRESS_dc_p10m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p10m.cir,TRAN,maximum_code_difference_after_2s,,6,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p10m.raw,reference=aligned nominal
STRESS_dc_p10m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p10m.cir,TRAN,minimum_opamp_rail_headroom_after_2s,,1.41089715562,V,,MEASURED,results/xmodel_aligned/raw/xma_dc_p10m.raw,reference=aligned nominal
STRESS_dc_p10m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p10m.cir,TRAN,recovery_last_sample_over_20_code,,1.586,s,,MEASURED,results/xmodel_aligned/raw/xma_dc_p10m.raw,fixed XMODEL run_stress.sh definition; input disturbance steps at 50us
STRESS_dc_p10m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p10m.cir,TRAN,recovered_within_first_2s_window,,true,boolean,,MEASURED,results/xmodel_aligned/raw/xma_dc_p10m.raw,"false means the fixed-script 2.000 s search window ended before a recovery time could be established; 2.000 s is censored, not a claimed recovery"
STRESS_dc_p50m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p50m.cir,TRAN,signed_code_min,,-64,code,,MEASURED,results/xmodel_aligned/raw/xma_dc_p50m.raw,reference=aligned nominal
STRESS_dc_p50m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p50m.cir,TRAN,signed_code_max,,2046,code,,MEASURED,results/xmodel_aligned/raw/xma_dc_p50m.raw,reference=aligned nominal
STRESS_dc_p50m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p50m.cir,TRAN,clip_count_total,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_dc_p50m.raw,reference=aligned nominal
STRESS_dc_p50m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p50m.cir,TRAN,clip_count_after_2s,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_dc_p50m.raw,reference=aligned nominal
STRESS_dc_p50m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p50m.cir,TRAN,mean_code_difference_after_2s,,3.208,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p50m.raw,reference=aligned nominal
STRESS_dc_p50m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p50m.cir,TRAN,mae_code_difference_after_2s,,3.208,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p50m.raw,reference=aligned nominal
STRESS_dc_p50m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p50m.cir,TRAN,rms_code_difference_after_2s,,6.84382933744,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p50m.raw,reference=aligned nominal
STRESS_dc_p50m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p50m.cir,TRAN,maximum_code_difference_after_2s,,30,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p50m.raw,reference=aligned nominal
STRESS_dc_p50m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p50m.cir,TRAN,minimum_opamp_rail_headroom_after_2s,,1.40813064894,V,,MEASURED,results/xmodel_aligned/raw/xma_dc_p50m.raw,reference=aligned nominal
STRESS_dc_p50m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p50m.cir,TRAN,recovery_last_sample_over_20_code,,2,s,,MEASURED,results/xmodel_aligned/raw/xma_dc_p50m.raw,fixed XMODEL run_stress.sh definition; input disturbance steps at 50us
STRESS_dc_p50m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p50m.cir,TRAN,recovered_within_first_2s_window,,false,boolean,,MEASURED,results/xmodel_aligned/raw/xma_dc_p50m.raw,"false means the fixed-script 2.000 s search window ended before a recovery time could be established; 2.000 s is censored, not a claimed recovery"
STRESS_dc_p100m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p100m.cir,TRAN,signed_code_min,,-64,code,,MEASURED,results/xmodel_aligned/raw/xma_dc_p100m.raw,reference=aligned nominal
STRESS_dc_p100m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p100m.cir,TRAN,signed_code_max,,2046,code,,MEASURED,results/xmodel_aligned/raw/xma_dc_p100m.raw,reference=aligned nominal
STRESS_dc_p100m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p100m.cir,TRAN,clip_count_total,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_dc_p100m.raw,reference=aligned nominal
STRESS_dc_p100m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p100m.cir,TRAN,clip_count_after_2s,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_dc_p100m.raw,reference=aligned nominal
STRESS_dc_p100m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p100m.cir,TRAN,mean_code_difference_after_2s,,6.40866666667,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p100m.raw,reference=aligned nominal
STRESS_dc_p100m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p100m.cir,TRAN,mae_code_difference_after_2s,,6.40866666667,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p100m.raw,reference=aligned nominal
STRESS_dc_p100m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p100m.cir,TRAN,rms_code_difference_after_2s,,13.6743799372,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p100m.raw,reference=aligned nominal
STRESS_dc_p100m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p100m.cir,TRAN,maximum_code_difference_after_2s,,59,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p100m.raw,reference=aligned nominal
STRESS_dc_p100m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p100m.cir,TRAN,minimum_opamp_rail_headroom_after_2s,,1.40467251533,V,,MEASURED,results/xmodel_aligned/raw/xma_dc_p100m.raw,reference=aligned nominal
STRESS_dc_p100m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p100m.cir,TRAN,recovery_last_sample_over_20_code,,2,s,,MEASURED,results/xmodel_aligned/raw/xma_dc_p100m.raw,fixed XMODEL run_stress.sh definition; input disturbance steps at 50us
STRESS_dc_p100m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p100m.cir,TRAN,recovered_within_first_2s_window,,false,boolean,,MEASURED,results/xmodel_aligned/raw/xma_dc_p100m.raw,"false means the fixed-script 2.000 s search window ended before a recovery time could be established; 2.000 s is censored, not a claimed recovery"
STRESS_dc_p200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p200m.cir,TRAN,signed_code_min,,-64,code,,MEASURED,results/xmodel_aligned/raw/xma_dc_p200m.raw,reference=aligned nominal
STRESS_dc_p200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p200m.cir,TRAN,signed_code_max,,2046,code,,MEASURED,results/xmodel_aligned/raw/xma_dc_p200m.raw,reference=aligned nominal
STRESS_dc_p200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p200m.cir,TRAN,clip_count_total,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_dc_p200m.raw,reference=aligned nominal
STRESS_dc_p200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p200m.cir,TRAN,clip_count_after_2s,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_dc_p200m.raw,reference=aligned nominal
STRESS_dc_p200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p200m.cir,TRAN,mean_code_difference_after_2s,,12.8223333333,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p200m.raw,reference=aligned nominal
STRESS_dc_p200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p200m.cir,TRAN,mae_code_difference_after_2s,,12.8223333333,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p200m.raw,reference=aligned nominal
STRESS_dc_p200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p200m.cir,TRAN,rms_code_difference_after_2s,,27.3394891442,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p200m.raw,reference=aligned nominal
STRESS_dc_p200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p200m.cir,TRAN,maximum_code_difference_after_2s,,117,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_p200m.raw,reference=aligned nominal
STRESS_dc_p200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p200m.cir,TRAN,minimum_opamp_rail_headroom_after_2s,,1.397756248,V,,MEASURED,results/xmodel_aligned/raw/xma_dc_p200m.raw,reference=aligned nominal
STRESS_dc_p200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p200m.cir,TRAN,recovery_last_sample_over_20_code,,2,s,,MEASURED,results/xmodel_aligned/raw/xma_dc_p200m.raw,fixed XMODEL run_stress.sh definition; input disturbance steps at 50us
STRESS_dc_p200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_p200m.cir,TRAN,recovered_within_first_2s_window,,false,boolean,,MEASURED,results/xmodel_aligned/raw/xma_dc_p200m.raw,"false means the fixed-script 2.000 s search window ended before a recovery time could be established; 2.000 s is censored, not a claimed recovery"
STRESS_dc_m200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_m200m.cir,TRAN,signed_code_min,,-2048,code,,MEASURED,results/xmodel_aligned/raw/xma_dc_m200m.raw,reference=aligned nominal
