HOST_CASE case_id=ARR_mitdb_118_chunk00 class_label=ARR mem_path=fullrec_afe_30min_annotation_valid_balanced/test/ARR/118/118_30min_w000.mem
SNN_ECG_FULL_REPLAY_BEGIN
protocol=raw_i16le_chunk_ack sample_bytes=2 chunk_samples=4096 ack_byte=0xA5
snn_config=0xD8C023C0 feeder_config=0xF1F01010
total_samples=1800000
SNN_ECG_FULL_REPLAY_READY total_samples=1800000
BOARD_PROGRESS samples_received=4096 samples_sent_to_ip=4096
BOARD_PROGRESS samples_received=8192 samples_sent_to_ip=8192
BOARD_PROGRESS samples_received=12288 samples_sent_to_ip=12288
BOARD_PROGRESS samples_received=16384 samples_sent_to_ip=16384
BOARD_PROGRESS samples_received=20480 samples_sent_to_ip=20480
BOARD_PROGRESS samples_received=24576 samples_sent_to_ip=24576
BOARD_PROGRESS samples_received=28672 samples_sent_to_ip=28672
BOARD_PROGRESS samples_received=32768 samples_sent_to_ip=32768
BOARD_PROGRESS samples_received=36864 samples_sent_to_ip=36864
BOARD_PROGRESS samples_received=40960 samples_sent_to_ip=40960
BOARD_PROGRESS samples_received=45056 samples_sent_to_ip=45056
BOARD_PROGRESS samples_received=49152 samples_sent_to_ip=49152
BOARD_PROGRESS samples_received=53248 samples_sent_to_ip=53248
BOARD_PROGRESS samples_received=57344 samples_sent_to_ip=57344
BOARD_PROGRESS samples_received=61440 samples_sent_to_ip=61440
BOARD_PROGRESS samples_received=65536 samples_sent_to_ip=65536
BOARD_PROGRESS samples_received=69632 samples_sent_to_ip=69632
BOARD_PROGRESS samples_received=73728 samples_sent_to_ip=73728
BOARD_PROGRESS samples_received=77824 samples_sent_to_ip=77824
BOARD_PROGRESS samples_received=81920 samples_sent_to_ip=81920
BOARD_PROGRESS samples_received=86016 samples_sent_to_ip=86016
BOARD_PROGRESS samples_received=90112 samples_sent_to_ip=90112
BOARD_PROGRESS samples_received=94208 samples_sent_to_ip=94208
BOARD_PROGRESS samples_received=98304 samples_sent_to_ip=98304
BOARD_PROGRESS samples_received=102400 samples_sent_to_ip=102400
BOARD_PROGRESS samples_received=106496 samples_sent_to_ip=106496
BOARD_PROGRESS samples_received=110592 samples_sent_to_ip=110592
BOARD_PROGRESS samples_received=114688 samples_sent_to_ip=114688
BOARD_PROGRESS samples_received=118784 samples_sent_to_ip=118784
BOARD_PROGRESS samples_received=122880 samples_sent_to_ip=122880
BOARD_PROGRESS samples_received=126976 samples_sent_to_ip=126976
BOARD_PROGRESS samples_received=131072 samples_sent_to_ip=131072
BOARD_PROGRESS samples_received=135168 samples_sent_to_ip=135168
BOARD_PROGRESS samples_received=139264 samples_sent_to_ip=139264
BOARD_PROGRESS samples_received=143360 samples_sent_to_ip=143360
BOARD_PROGRESS samples_received=147456 samples_sent_to_ip=147456
BOARD_PROGRESS samples_received=151552 samples_sent_to_ip=151552
BOARD_PROGRESS samples_received=155648 samples_sent_to_ip=155648
BOARD_PROGRESS samples_received=159744 samples_sent_to_ip=159744
BOARD_PROGRESS samples_received=163840 samples_sent_to_ip=163840
BOARD_PROGRESS samples_received=167936 samples_sent_to_ip=167936
BOARD_PROGRESS samples_received=172032 samples_sent_to_ip=172032
BOARD_PROGRESS samples_received=176128 samples_sent_to_ip=176128
BOARD_PROGRESS samples_received=180224 samples_sent_to_ip=180224
BOARD_PROGRESS samples_received=184320 samples_sent_to_ip=184320
BOARD_PROGRESS samples_received=188416 samples_sent_to_ip=188416
BOARD_PROGRESS samples_received=192512 samples_sent_to_ip=192512
BOARD_PROGRESS samples_received=196608 samples_sent_to_ip=196608
BOARD_PROGRESS samples_received=200704 samples_sent_to_ip=200704
BOARD_PROGRESS samples_received=204800 samples_sent_to_ip=204800
BOARD_PROGRESS samples_received=208896 samples_sent_to_ip=208896
BOARD_PROGRESS samples_received=212992 samples_sent_to_ip=212992
BOARD_PROGRESS samples_received=217088 samples_sent_to_ip=217088
BOARD_PROGRESS samples_received=221184 samples_sent_to_ip=221184
BOARD_PROGRESS samples_received=225280 samples_sent_to_ip=225280
BOARD_PROGRESS samples_received=229376 samples_sent_to_ip=229376
BOARD_PROGRESS samples_received=233472 samples_sent_to_ip=233472
BOARD_PROGRESS samples_received=237568 samples_sent_to_ip=237568
BOARD_PROGRESS samples_received=241664 samples_sent_to_ip=241664
BOARD_PROGRESS samples_received=245760 samples_sent_to_ip=245760
BOARD_PROGRESS samples_received=249856 samples_sent_to_ip=249856
BOARD_PROGRESS samples_received=253952 samples_sent_to_ip=253952
BOARD_PROGRESS samples_received=258048 samples_sent_to_ip=258048
BOARD_PROGRESS samples_received=262144 samples_sent_to_ip=262144
BOARD_PROGRESS samples_received=266240 samples_sent_to_ip=266240
BOARD_PROGRESS samples_received=270336 samples_sent_to_ip=270336
BOARD_PROGRESS samples_received=274432 samples_sent_to_ip=274432
BOARD_PROGRESS samples_received=278528 samples_sent_to_ip=278528
BOARD_PROGRESS samples_received=282624 samples_sent_to_ip=282624
BOARD_PROGRESS samples_received=286720 samples_sent_to_ip=286720
BOARD_PROGRESS samples_received=290816 samples_sent_to_ip=290816
BOARD_PROGRESS samples_received=294912 samples_sent_to_ip=294912
BOARD_PROGRESS samples_received=299008 samples_sent_to_ip=299008
BOARD_PROGRESS samples_received=303104 samples_sent_to_ip=303104
BOARD_PROGRESS samples_received=307200 samples_sent_to_ip=307200
BOARD_PROGRESS samples_received=311296 samples_sent_to_ip=311296
BOARD_PROGRESS samples_received=315392 samples_sent_to_ip=315392
BOARD_PROGRESS samples_received=319488 samples_sent_to_ip=319488
BOARD_PROGRESS samples_received=323584 samples_sent_to_ip=323584
BOARD_PROGRESS samples_received=327680 samples_sent_to_ip=327680
BOARD_PROGRESS samples_received=331776 samples_sent_to_ip=331776
BOARD_PROGRESS samples_received=335872 samples_sent_to_ip=335872
BOARD_PROGRESS samples_received=339968 samples_sent_to_ip=339968
BOARD_PROGRESS samples_received=344064 samples_sent_to_ip=344064
BOARD_PROGRESS samples_received=348160 samples_sent_to_ip=348160
BOARD_PROGRESS samples_received=352256 samples_sent_to_ip=352256
BOARD_PROGRESS samples_received=356352 samples_sent_to_ip=356352
BOARD_PROGRESS samples_received=360448 samples_sent_to_ip=360448
BOARD_PROGRESS samples_received=364544 samples_sent_to_ip=364544
BOARD_PROGRESS samples_received=368640 samples_sent_to_ip=368640
BOARD_PROGRESS samples_received=372736 samples_sent_to_ip=372736
BOARD_PROGRESS samples_received=376832 samples_sent_to_ip=376832
BOARD_PROGRESS samples_received=380928 samples_sent_to_ip=380928
BOARD_PROGRESS samples_received=385024 samples_sent_to_ip=385024
BOARD_PROGRESS samples_received=389120 samples_sent_to_ip=389120
BOARD_PROGRESS samples_received=393216 samples_sent_to_ip=393216
BOARD_PROGRESS samples_received=397312 samples_sent_to_ip=397312
BOARD_PROGRESS samples_received=401408 samples_sent_to_ip=401408
BOARD_PROGRESS samples_received=405504 samples_sent_to_ip=405504
BOARD_PROGRESS samples_received=409600 samples_sent_to_ip=409600
BOARD_PROGRESS samples_received=413696 samples_sent_to_ip=413696
BOARD_PROGRESS samples_received=417792 samples_sent_to_ip=417792
BOARD_PROGRESS samples_received=421888 samples_sent_to_ip=421888
BOARD_PROGRESS samples_received=425984 samples_sent_to_ip=425984
BOARD_PROGRESS samples_received=430080 samples_sent_to_ip=430080
BOARD_PROGRESS samples_received=434176 samples_sent_to_ip=434176
BOARD_PROGRESS samples_received=438272 samples_sent_to_ip=438272
BOARD_PROGRESS samples_received=442368 samples_sent_to_ip=442368
BOARD_PROGRESS samples_received=446464 samples_sent_to_ip=446464
