scope,grid_x,grid_y,placed_primitives,representative_tile
"accelerator",10,108,6,"CLBLL_L_X2Y96"
"accelerator",10,109,6,"CLBLL_L_X2Y95"
"accelerator",10,110,6,"CLBLL_L_X2Y94"
"accelerator",10,111,8,"CLBLL_L_X2Y93"
"accelerator",10,116,1,"CLBLL_L_X2Y88"
"accelerator",10,117,5,"CLBLL_L_X2Y87"
"accelerator",10,118,5,"CLBLL_L_X2Y86"
"accelerator",10,119,5,"CLBLL_L_X2Y85"
"accelerator",10,120,5,"CLBLL_L_X2Y84"
"accelerator",10,121,4,"CLBLL_L_X2Y83"
"accelerator",100,100,15,"CLBLL_L_X40Y103"
"accelerator",100,101,13,"CLBLL_L_X40Y102"
"accelerator",100,102,14,"CLBLL_L_X40Y101"
"accelerator",100,103,11,"CLBLL_L_X40Y100"
"accelerator",100,105,1,"CLBLL_L_X40Y99"
"accelerator",100,106,7,"CLBLL_L_X40Y98"
"accelerator",100,107,12,"CLBLL_L_X40Y97"
"accelerator",100,108,18,"CLBLL_L_X40Y96"
"accelerator",100,109,18,"CLBLL_L_X40Y95"
"accelerator",100,110,19,"CLBLL_L_X40Y94"
"accelerator",100,111,18,"CLBLL_L_X40Y93"
"accelerator",100,112,18,"CLBLL_L_X40Y92"
"accelerator",100,113,19,"CLBLL_L_X40Y91"
"accelerator",100,114,17,"CLBLL_L_X40Y90"
"accelerator",100,115,9,"CLBLL_L_X40Y89"
"accelerator",100,116,8,"CLBLL_L_X40Y88"
"accelerator",100,117,6,"CLBLL_L_X40Y87"
"accelerator",100,118,5,"CLBLL_L_X40Y86"
"accelerator",100,119,4,"CLBLL_L_X40Y85"
"accelerator",100,120,14,"CLBLL_L_X40Y84"
"accelerator",100,121,18,"CLBLL_L_X40Y83"
"accelerator",100,122,18,"CLBLL_L_X40Y82"
"accelerator",100,124,12,"CLBLL_L_X40Y80"
"accelerator",100,125,14,"CLBLL_L_X40Y79"
"accelerator",100,126,14,"CLBLL_L_X40Y78"
"accelerator",100,127,15,"CLBLL_L_X40Y77"
"accelerator",100,128,8,"CLBLL_L_X40Y76"
"accelerator",100,132,5,"CLBLL_L_X40Y73"
"accelerator",100,133,16,"CLBLL_L_X40Y72"
"accelerator",100,134,18,"CLBLL_L_X40Y71"
"accelerator",100,135,17,"CLBLL_L_X40Y70"
"accelerator",100,136,8,"CLBLL_L_X40Y69"
"accelerator",100,139,7,"CLBLL_L_X40Y66"
"accelerator",100,140,18,"CLBLL_L_X40Y65"
"accelerator",100,141,12,"CLBLL_L_X40Y64"
