scope,grid_x,grid_y,placed_primitives,representative_tile
"accelerator_core",10,108,6,"CLBLL_L_X2Y96"
"accelerator_core",10,109,6,"CLBLL_L_X2Y95"
"accelerator_core",10,110,6,"CLBLL_L_X2Y94"
"accelerator_core",10,111,8,"CLBLL_L_X2Y93"
"accelerator_core",10,116,1,"CLBLL_L_X2Y88"
"accelerator_core",10,117,5,"CLBLL_L_X2Y87"
"accelerator_core",10,118,1,"CLBLL_L_X2Y86"
"accelerator_core",10,119,1,"CLBLL_L_X2Y85"
"accelerator_core",10,120,1,"CLBLL_L_X2Y84"
"accelerator_core",10,121,4,"CLBLL_L_X2Y83"
"accelerator_core",100,100,15,"CLBLL_L_X40Y103"
"accelerator_core",100,101,13,"CLBLL_L_X40Y102"
"accelerator_core",100,102,14,"CLBLL_L_X40Y101"
"accelerator_core",100,103,11,"CLBLL_L_X40Y100"
"accelerator_core",100,105,1,"CLBLL_L_X40Y99"
"accelerator_core",100,106,7,"CLBLL_L_X40Y98"
"accelerator_core",100,107,12,"CLBLL_L_X40Y97"
"accelerator_core",100,108,18,"CLBLL_L_X40Y96"
"accelerator_core",100,109,18,"CLBLL_L_X40Y95"
"accelerator_core",100,110,19,"CLBLL_L_X40Y94"
"accelerator_core",100,111,18,"CLBLL_L_X40Y93"
"accelerator_core",100,112,18,"CLBLL_L_X40Y92"
"accelerator_core",100,113,19,"CLBLL_L_X40Y91"
"accelerator_core",100,114,17,"CLBLL_L_X40Y90"
"accelerator_core",100,115,9,"CLBLL_L_X40Y89"
"accelerator_core",100,116,8,"CLBLL_L_X40Y88"
"accelerator_core",100,117,6,"CLBLL_L_X40Y87"
"accelerator_core",100,118,5,"CLBLL_L_X40Y86"
"accelerator_core",100,119,4,"CLBLL_L_X40Y85"
"accelerator_core",100,120,14,"CLBLL_L_X40Y84"
"accelerator_core",100,121,18,"CLBLL_L_X40Y83"
"accelerator_core",100,122,18,"CLBLL_L_X40Y82"
"accelerator_core",100,124,12,"CLBLL_L_X40Y80"
"accelerator_core",100,125,14,"CLBLL_L_X40Y79"
"accelerator_core",100,126,14,"CLBLL_L_X40Y78"
"accelerator_core",100,127,15,"CLBLL_L_X40Y77"
"accelerator_core",100,128,8,"CLBLL_L_X40Y76"
"accelerator_core",100,132,5,"CLBLL_L_X40Y73"
"accelerator_core",100,133,16,"CLBLL_L_X40Y72"
"accelerator_core",100,134,18,"CLBLL_L_X40Y71"
"accelerator_core",100,135,17,"CLBLL_L_X40Y70"
"accelerator_core",100,136,8,"CLBLL_L_X40Y69"
"accelerator_core",100,139,7,"CLBLL_L_X40Y66"
"accelerator_core",100,140,18,"CLBLL_L_X40Y65"
"accelerator_core",100,141,12,"CLBLL_L_X40Y64"
"accelerator_core",100,142,10,"CLBLL_L_X40Y63"
"accelerator_core",100,143,12,"CLBLL_L_X40Y62"
"accelerator_core",100,148,13,"CLBLL_L_X40Y57"
"accelerator_core",100,149,14,"CLBLL_L_X40Y56"
"accelerator_core",100,150,8,"CLBLL_L_X40Y55"
"accelerator_core",100,151,10,"CLBLL_L_X40Y54"
"accelerator_core",100,154,9,"CLBLL_L_X40Y51"
"accelerator_core",100,155,13,"CLBLL_L_X40Y50"
"accelerator_core",100,157,9,"CLBLL_L_X40Y49"
"accelerator_core",100,158,2,"CLBLL_L_X40Y48"
"accelerator_core",100,159,3,"CLBLL_L_X40Y47"
"accelerator_core",100,160,7,"CLBLL_L_X40Y46"
