scope,case_id,class_label,mode,runs,samples_per_run,latency_median_ms,latency_mean_ms,latency_stddev_ms,latency_min_ms,latency_max_ms,samples_per_s_median,samples_per_s_mean,thread_cycles_median,cycles_per_sample_median,effective_clock_mhz_median,current_mhz_min,current_mhz_max,output_exact_count
case,AFF_afdb_06995_chunk01,AFF,kernel,10,1800000,1648.723950000,1648.732800000,0.304384855,1648.236200000,1649.313100000,1091753.417,1091747.587,3943320812.000,2190.733785,2391.869,2401,2401,10
case,AFF_afdb_06995_chunk01,AFF,end_to_end,10,1800000,1850.635700000,1889.961040000,85.035181274,1849.036000000,2085.747200000,972638.754,954024.229,4426076157.500,2458.931199,2391.530,2401,2401,10
case,AFF_afdb_06995_chunk03,AFF,kernel,10,1800000,1728.813850000,1753.255360000,68.258018250,1677.397100000,1851.371800000,1041176.347,1028047.999,4135804102.000,2297.668945,2392.149,2401,2401,10
case,AFF_afdb_06995_chunk03,AFF,end_to_end,10,1800000,2003.753900000,2018.064250000,94.507000561,1890.339900000,2201.694500000,898377.124,893678.645,4793058886.000,2662.810492,2391.929,2401,2401,10
case,AFF_afdb_06995_chunk05,AFF,kernel,10,1800000,1777.352050000,1790.001470000,82.486665005,1672.683000000,1935.302300000,1012817.492,1007480.138,4251483309.000,2361.935171,2392.019,2401,2401,10
case,AFF_afdb_06995_chunk05,AFF,end_to_end,10,1800000,2060.981000000,2095.779180000,115.000347323,1939.047200000,2307.294700000,873384.015,861142.228,4918157902.000,2732.309946,2388.535,2401,2401,10
case,AFF_afdb_06995_chunk07,AFF,kernel,10,1800000,1806.319750000,1807.759320000,70.804668002,1706.151300000,1952.624700000,996516.588,997058.570,4317118023.500,2398.398902,2389.130,2401,2401,10
case,AFF_afdb_06995_chunk07,AFF,end_to_end,10,1800000,1859.717500000,1876.667150000,32.065242674,1847.423200000,1929.523400000,967889.241,959396.024,4443284488.000,2468.491383,2387.551,2401,2401,10
case,AFF_afdb_06995_chunk10,AFF,kernel,10,1800000,1836.948300000,1865.456590000,113.511092659,1762.326000000,2107.561200000,979886.117,967939.404,4385916181.500,2436.620101,2387.740,2401,2401,10
case,AFF_afdb_06995_chunk10,AFF,end_to_end,10,1800000,2014.872600000,2031.318280000,46.244595933,1977.043000000,2136.033300000,893358.161,886527.551,4810849787.500,2672.694326,2389.003,2401,2401,10
case,AFF_afdb_06995_chunk12,AFF,kernel,10,1800000,1700.076600000,1715.864780000,71.387747773,1648.620900000,1836.648500000,1059049.779,1050634.459,4051095546.000,2250.608637,2387.795,2401,2401,10
case,AFF_afdb_06995_chunk12,AFF,end_to_end,10,1800000,2036.492350000,2011.608590000,149.143241234,1850.257500000,2241.227600000,883959.634,899223.196,4863244006.000,2701.802226,2388.388,2401,2401,10
case,AFF_afdb_06995_chunk14,AFF,kernel,10,1800000,1857.826700000,1844.687510000,48.598315448,1773.493000000,1907.670100000,968890.399,976389.233,4437918835.000,2465.510463,2388.146,2401,2401,10
case,AFF_afdb_06995_chunk14,AFF,end_to_end,10,1800000,2051.268250000,2027.059810000,83.995353380,1867.724500000,2132.402100000,877506.468,889404.793,4894184889.500,2718.991605,2387.472,2401,2401,10
case,AFF_afdb_06995_chunk16,AFF,kernel,10,1800000,1783.940550000,1796.765260000,55.541322868,1731.177500000,1889.846000000,1009098.032,1002648.254,4263165503.500,2368.425280,2388.152,2401,2401,10
case,AFF_afdb_06995_chunk16,AFF,end_to_end,10,1800000,2039.419200000,2052.324400000,44.903272358,1996.095000000,2118.227000000,882604.783,877430.083,4867003093.500,2703.890607,2385.360,2401,2401,10
case,AFF_afdb_06995_chunk18,AFF,kernel,10,1800000,1827.503150000,1823.689540000,34.950899933,1755.727900000,1861.149500000,984964.279,987340.639,4360059656.500,2422.255365,2388.276,2401,2401,10
case,AFF_afdb_06995_chunk18,AFF,end_to_end,10,1800000,2020.620400000,2035.277080000,38.568337043,2002.778400000,2122.829000000,890815.986,884679.199,4822607568.000,2679.226426,2386.990,2401,2401,10
case,ARR_mitdb_102_chunk00,ARR,kernel,10,1800000,1840.425950000,1862.188970000,64.692452852,1809.609300000,2028.996400000,978036.324,967596.090,4395061028.000,2441.700571,2388.162,2401,2401,10
case,ARR_mitdb_102_chunk00,ARR,end_to_end,10,1800000,1853.922150000,1897.898760000,85.755991574,1849.054000000,2108.320300000,970914.677,950044.891,4423671814.000,2457.595452,2389.308,2401,2401,10
case,ARR_mitdb_105_chunk00,ARR,kernel,10,1800000,1805.481150000,1796.597110000,70.893298409,1656.553700000,1883.082700000,997100.285,1003337.190,4310137430.000,2394.520795,2388.729,2401,2401,10
case,ARR_mitdb_105_chunk00,ARR,end_to_end,10,1800000,2037.382250000,2046.155560000,62.913252424,1975.919100000,2207.009100000,883494.405,880413.311,4868454463.000,2704.696924,2388.143,2401,2401,10
