implementation,case_id,class_label_report,mode,sample_count,literal_sample_rate_hz,saif_duration_s,evidence_class,total_on_chip_power_w,dynamic_power_w,device_static_power_w,accelerator_hierarchy_dynamic_power_w,accelerator_plus_device_static_power_w,power_estimation_confidence,design_nets_matched,timing_wns_ns,register_primitives,register_ce_pins,register_ce_pins_with_driven_net,total_energy_per_decision_mj,dynamic_energy_per_decision_mj,clock_gated_no_power_gating_average_power_w,dynamic_duty_cycled_average_power_w,ideal_full_power_gating_average_power_w,raw_power_report,accelerator_allocated_energy_per_decision_mj,accelerator_dynamic_energy_per_decision_mj,accelerator_clock_gated_no_power_gating_average_power_w,accelerator_dynamic_duty_cycled_average_power_w,accelerator_ideal_full_power_gating_average_power_w,raw_power_report_sha256,saif,saif_sha256
baseline,AFF_afdb_06995_chunk01,AF,burst_full_record,1800000,100000000.0,0.036013215,ESTIMATED,0.178,0.081,0.097,0.053,0.15,Medium,12%   (3447/27746),0.035,5049,5049,5049,6.4102961999999994,2.9170449,0.0970016205805,1.6205805e-06,3.5612756666666667e-06,benchmarks/accelerator_benefit/power/results/activity_power/baseline/AFF_afdb_06995_chunk01/burst_full_record/AFF_afdb_06995_chunk01_burst_full_record_baseline_power_post_route.rpt,5.401935,1.9086837,0.09700106037983333,1.0603798333333334e-06,3.001075e-06,ae361a94596e06f9bc4c58fcf834328c8418ce6982dac3c41366aa2aa275a464,benchmarks/accelerator_benefit/power/results/activity/AFF_afdb_06995_chunk01/burst_full_record/AFF_afdb_06995_chunk01_burst_full_record.saif,710e75b0fff36d469938bacdc32daf0810572f10c53c5146ab013a75cb978e3b
baseline,AFF_afdb_06995_chunk01,AF,streaming_1ksps_prefix,100,1000.0,0.09900052499999999,ESTIMATED,0.166,0.069,0.097,0.045,0.14200000000000002,Medium,12%   (3435/27746),0.035,5049,5049,5049,,,,,,benchmarks/accelerator_benefit/power/results/activity_power/baseline/AFF_afdb_06995_chunk01/streaming_1ksps_prefix/AFF_afdb_06995_chunk01_streaming_1ksps_prefix_baseline_power_post_route.rpt,,,,,,e32549e0377f6cdc499d9ff2529e6b1db9707eb20973f8de1c13bec859a9307e,benchmarks/accelerator_benefit/power/results/activity/AFF_afdb_06995_chunk01/streaming_1ksps_prefix/AFF_afdb_06995_chunk01_streaming_1ksps_prefix.saif,70b665da98e51e9db79e0efeef7179276073b46dbe051bf4dc0103eb3f96b051
baseline,ARR_mitdb_102_chunk00,ARR,burst_full_record,1800000,100000000.0,0.036013215,ESTIMATED,0.177,0.08,0.097,0.052,0.149,Medium,12%   (3447/27746),0.035,5049,5049,5049,6.374283299999999,2.881032,0.09700160057333333,1.6005733333333334e-06,3.5412685e-06,benchmarks/accelerator_benefit/power/results/activity_power/baseline/ARR_mitdb_102_chunk00/burst_full_record/ARR_mitdb_102_chunk00_burst_full_record_baseline_power_post_route.rpt,5.3659221,1.8726707999999999,0.09700104037266667,1.0403726666666666e-06,2.981067833333333e-06,8c7122c4d2f69e56300b62a7fbe4b318609bf5d643307980cc129b189691a313,benchmarks/accelerator_benefit/power/results/activity/ARR_mitdb_102_chunk00/burst_full_record/ARR_mitdb_102_chunk00_burst_full_record.saif,3555352aca52ebed9aed7cf66e8f00229177c85bd8d698bf74c02caed09bd8c9
baseline,ARR_mitdb_102_chunk00,ARR,streaming_1ksps_prefix,100,1000.0,0.09900052499999999,ESTIMATED,0.166,0.069,0.097,0.045,0.14200000000000002,Medium,12%   (3435/27746),0.035,5049,5049,5049,,,,,,benchmarks/accelerator_benefit/power/results/activity_power/baseline/ARR_mitdb_102_chunk00/streaming_1ksps_prefix/ARR_mitdb_102_chunk00_streaming_1ksps_prefix_baseline_power_post_route.rpt,,,,,,b6b58dc339f331979c70a9bb5fefac44eba5a7d7f969e7ff224958eeeae8af19,benchmarks/accelerator_benefit/power/results/activity/ARR_mitdb_102_chunk00/streaming_1ksps_prefix/ARR_mitdb_102_chunk00_streaming_1ksps_prefix.saif,0ad1349311bc333ee438bd81bc3639370c21d74689428084bd61ea95a0d74616
baseline,CHF_chfdb_chf06_chunk06,CHF,burst_full_record,1800000,100000000.0,0.036013215,ESTIMATED,0.177,0.08,0.097,0.052,0.149,Medium,12%   (3447/27746),0.035,5049,5049,5049,6.374283299999999,2.881032,0.09700160057333333,1.6005733333333334e-06,3.5412685e-06,benchmarks/accelerator_benefit/power/results/activity_power/baseline/CHF_chfdb_chf06_chunk06/burst_full_record/CHF_chfdb_chf06_chunk06_burst_full_record_baseline_power_post_route.rpt,5.3659221,1.8726707999999999,0.09700104037266667,1.0403726666666666e-06,2.981067833333333e-06,30b24b5dc5a0d226d631751a25c3925691faf1b680ae0cece279ef32f91302ba,benchmarks/accelerator_benefit/power/results/activity/CHF_chfdb_chf06_chunk06/burst_full_record/CHF_chfdb_chf06_chunk06_burst_full_record.saif,517903a367f0429b4fc00e18ac9a70c0f78d31a12577f5971988ae40b94f4e06
baseline,CHF_chfdb_chf06_chunk06,CHF,streaming_1ksps_prefix,100,1000.0,0.09900052499999999,ESTIMATED,0.166,0.069,0.097,0.045,0.14200000000000002,Medium,12%   (3435/27746),0.035,5049,5049,5049,,,,,,benchmarks/accelerator_benefit/power/results/activity_power/baseline/CHF_chfdb_chf06_chunk06/streaming_1ksps_prefix/CHF_chfdb_chf06_chunk06_streaming_1ksps_prefix_baseline_power_post_route.rpt,,,,,,e10ccda4971a70f3dfd7170cb0a2f77e7901cc78edca860c471c00abee8b455c,benchmarks/accelerator_benefit/power/results/activity/CHF_chfdb_chf06_chunk06/streaming_1ksps_prefix/CHF_chfdb_chf06_chunk06_streaming_1ksps_prefix.saif,715f1a5a6fcca10dfbd553ecce07b9874ed6c10ab40404c21cab4af7030df238
baseline,NSR_nsrdb_16272_chunk03,NSR,burst_full_record,1800000,100000000.0,0.036013215,ESTIMATED,0.178,0.081,0.097,0.053,0.15,Medium,12%   (3447/27746),0.035,5049,5049,5049,6.4102961999999994,2.9170449,0.0970016205805,1.6205805e-06,3.5612756666666667e-06,benchmarks/accelerator_benefit/power/results/activity_power/baseline/NSR_nsrdb_16272_chunk03/burst_full_record/NSR_nsrdb_16272_chunk03_burst_full_record_baseline_power_post_route.rpt,5.401935,1.9086837,0.09700106037983333,1.0603798333333334e-06,3.001075e-06,744bc1032cfc860ef13995318c38213aab9893134be04f7dec1449aaab047286,benchmarks/accelerator_benefit/power/results/activity/NSR_nsrdb_16272_chunk03/burst_full_record/NSR_nsrdb_16272_chunk03_burst_full_record.saif,f0e71cbc72a9860598e1f2a278f43d8ac06b8e32dd38b24af83a20287ded2550
baseline,NSR_nsrdb_16272_chunk03,NSR,streaming_1ksps_prefix,100,1000.0,0.09900052499999999,ESTIMATED,0.166,0.069,0.097,0.045,0.14200000000000002,Medium,12%   (3435/27746),0.035,5049,5049,5049,,,,,,benchmarks/accelerator_benefit/power/results/activity_power/baseline/NSR_nsrdb_16272_chunk03/streaming_1ksps_prefix/NSR_nsrdb_16272_chunk03_streaming_1ksps_prefix_baseline_power_post_route.rpt,,,,,,510df3a012234e9dce29e9b76d0cf2870d4520ee6c7db5b48246a66c3e8fde7f,benchmarks/accelerator_benefit/power/results/activity/NSR_nsrdb_16272_chunk03/streaming_1ksps_prefix/NSR_nsrdb_16272_chunk03_streaming_1ksps_prefix.saif,40044b6be04c626a930749a1be7b681b76001c2e0482f602aa4bf29556399016
power_opt,AFF_afdb_06995_chunk01,AF,burst_full_record,1800000,100000000.0,0.036013215,ESTIMATED,0.178,0.081,0.097,0.053,0.15,Medium,12%   (3447/27878),0.021,5044,5044,5044,6.4102961999999994,2.9170449,0.0970016205805,1.6205805e-06,3.5612756666666667e-06,benchmarks/accelerator_benefit/power/results/activity_power/power_opt/AFF_afdb_06995_chunk01/burst_full_record/AFF_afdb_06995_chunk01_burst_full_record_power_opt_power_post_route.rpt,5.401935,1.9086837,0.09700106037983333,1.0603798333333334e-06,3.001075e-06,eedfe9ec2838e68b59556334c647f2db8ffd2351e03416ab29c61a7e6dce4569,benchmarks/accelerator_benefit/power/results/activity/AFF_afdb_06995_chunk01/burst_full_record/AFF_afdb_06995_chunk01_burst_full_record.saif,710e75b0fff36d469938bacdc32daf0810572f10c53c5146ab013a75cb978e3b
power_opt,AFF_afdb_06995_chunk01,AF,streaming_1ksps_prefix,100,1000.0,0.09900052499999999,ESTIMATED,0.166,0.068,0.097,0.045,0.14200000000000002,Medium,12%   (3435/27878),0.021,5044,5044,5044,,,,,,benchmarks/accelerator_benefit/power/results/activity_power/power_opt/AFF_afdb_06995_chunk01/streaming_1ksps_prefix/AFF_afdb_06995_chunk01_streaming_1ksps_prefix_power_opt_power_post_route.rpt,,,,,,b04756607f5eb82d5092a4b71974bf9826d5c6c7a93879b64ba3b5ca072be427,benchmarks/accelerator_benefit/power/results/activity/AFF_afdb_06995_chunk01/streaming_1ksps_prefix/AFF_afdb_06995_chunk01_streaming_1ksps_prefix.saif,70b665da98e51e9db79e0efeef7179276073b46dbe051bf4dc0103eb3f96b051
