case_id,repetitions,latency_ms_median,latency_ms_mean,latency_ms_std,latency_ms_min,latency_ms_max,latency_ms_q1,latency_ms_q3,latency_ms_iqr,throughput_samples_per_s_median,output_equivalence
AFF_afdb_06995_chunk01,10,2656.553850,2646.337060,67.825579,2457.366600,2721.492700,2645.437900,2673.710100,28.272200,677569.578781,true
AFF_afdb_06995_chunk03,10,2453.669500,2454.015980,7.737530,2443.298700,2467.765300,2447.392750,2456.930825,9.538075,733595.132880,true
AFF_afdb_06995_chunk05,10,2458.975800,2458.835590,6.930556,2446.237700,2470.373400,2456.952250,2463.971825,7.019575,732012.192993,true
AFF_afdb_06995_chunk07,10,2461.535500,2463.705910,7.056808,2456.252200,2480.700300,2458.933825,2466.579400,7.645575,731250.884394,true
AFF_afdb_06995_chunk10,10,2456.932400,2499.450240,81.818697,2444.989400,2700.504700,2451.650150,2507.325700,55.675550,732620.903611,true
AFF_afdb_06995_chunk12,10,2458.658700,2458.555750,7.647722,2446.419400,2470.065300,2452.073325,2464.286225,12.212900,732106.494487,true
AFF_afdb_06995_chunk14,10,2461.491400,2462.029210,9.278873,2445.708000,2478.689900,2455.835600,2467.276550,11.440950,731264.019723,true
AFF_afdb_06995_chunk16,10,2467.990700,2469.737540,6.720541,2460.251400,2483.517500,2465.297475,2473.978425,8.680950,729338.252672,true
AFF_afdb_06995_chunk18,10,2466.440200,2479.485130,30.385260,2445.139400,2555.589100,2462.697325,2489.145550,26.448225,729796.780999,true
ARR_mitdb_102_chunk00,10,2461.873600,2459.855420,7.400664,2447.382400,2470.248900,2454.270625,2465.320150,11.049525,731150.468635,true
ARR_mitdb_105_chunk00,10,2458.877100,2461.490620,9.437616,2445.698800,2478.437600,2455.303650,2468.774375,13.470725,732041.539605,true
ARR_mitdb_118_chunk00,10,2521.664150,2519.525560,41.456023,2458.975100,2580.138400,2482.194075,2553.836100,71.642025,713814.402361,true
ARR_mitdb_202_chunk00,10,2468.407150,2476.032010,33.174492,2445.354400,2546.161100,2449.886275,2478.506550,28.620275,729217.631139,true
ARR_mitdb_208_chunk00,10,2469.933950,2483.924880,37.662781,2445.315300,2575.370300,2455.896375,2499.042175,43.145800,728765.603357,true
ARR_mitdb_214_chunk00,10,2453.752650,2453.924020,9.808088,2437.046800,2470.685200,2447.567475,2459.939550,12.372075,733570.818416,true
ARR_mitdb_217_chunk00,10,2452.778350,2452.154800,6.036139,2443.364200,2461.175300,2446.837950,2457.316750,10.478800,733861.735912,true
ARR_mitdb_220_chunk00,10,2490.431850,2538.227010,129.428830,2440.888600,2878.588700,2455.769600,2537.370875,81.601275,722793.267210,true
ARR_mitdb_231_chunk00,10,3575.713250,3782.016440,544.024701,3236.149600,4805.320200,3334.009050,4085.114600,751.105550,503733.489057,true
CHF_chfdb_chf06_chunk06,10,2671.601650,2711.918450,108.447783,2601.602900,2893.662100,2614.776725,2807.232850,192.456125,673834.565799,true
CHF_chfdb_chf06_chunk19,10,2451.872000,2452.648660,8.712103,2438.421700,2464.774900,2445.842825,2461.056400,15.213575,734133.318629,true
CHF_chfdb_chf06_chunk32,10,2454.313950,2456.144410,13.818552,2438.745100,2481.635700,2446.265700,2461.943500,15.677800,733402.566366,true
CHF_chfdb_chf07_chunk09,10,2455.043200,2468.515710,33.562966,2439.523600,2541.581400,2449.565825,2460.090375,10.524550,733184.755991,true
CHF_chfdb_chf07_chunk29,10,2455.636950,2461.189020,21.892681,2435.846400,2514.944400,2447.668850,2471.361650,23.692800,733008.229292,true
CHF_chfdb_chf09_chunk09,10,2453.570850,2455.903130,7.678589,2444.965600,2467.774200,2450.407550,2463.309975,12.902425,733624.632297,true
CHF_chfdb_chf09_chunk29,10,2451.464100,2542.550550,259.318623,2437.768300,3319.370400,2448.977825,2475.268550,26.290725,734255.199787,true
CHF_chfdb_chf15_chunk03,10,3130.610450,3069.764800,205.119076,2456.090200,3174.620400,3125.669225,3139.971825,14.302600,574968.081927,true
CHF_chfdb_chf15_chunk09,10,2456.483850,2459.260170,8.588431,2449.136400,2478.682700,2453.347025,2463.144350,9.797325,732754.776708,true
NSR_nsrdb_16272_chunk03,10,2456.083050,2464.722680,25.838121,2448.611700,2541.010200,2453.374200,2460.901900,7.527700,732874.852732,true
NSR_nsrdb_16272_chunk10,10,2454.182600,2479.456630,50.595442,2448.222000,2619.146300,2450.084450,2478.999500,28.915050,733441.796905,true
NSR_nsrdb_16483_chunk10,10,2447.506200,2447.600470,8.286327,2436.504500,2462.856400,2441.094925,2452.860950,11.766025,735443.832616,true
NSR_nsrdb_16483_chunk32,10,2443.884700,2445.236400,8.372738,2434.165200,2459.100600,2437.602725,2452.961350,15.358625,736532.610007,true
NSR_nsrdb_16786_chunk11,10,2449.149050,2481.212460,65.979801,2440.510000,2616.442100,2447.707175,2453.426550,5.719375,734949.195964,true
NSR_nsrdb_16786_chunk35,10,2703.528400,2670.488230,123.175095,2469.175400,2817.142300,2598.582025,2766.917075,168.335050,666080.261659,true
NSR_nsrdb_19093_chunk10,10,2445.436450,2445.384570,4.382936,2438.674000,2452.139700,2441.440775,2448.774675,7.333900,736064.962687,true
NSR_nsrdb_19093_chunk30,10,2438.842150,2441.460790,6.894986,2435.324400,2459.786600,2436.887875,2443.695600,6.807725,738055.199601,true
NSR_nsrdb_19140_chunk20,10,2436.683700,2438.445580,6.311464,2430.426300,2450.173300,2433.605925,2441.350375,7.744450,738708.941224,true
