strict_case_id,chunk_id,class_label,class_id,source_database,source_record_id,physical_record_id,record_id,source_file_path,mem_path,chunk_index,start_sec,duration_sec,sample_count,sample_rate,split,current_chunk_split,original_split,uncertain_source_record,notes,chunk_file
0,AFF_afdb_06426_w1,AFF,3,afdb,AFF_afdb_06426,afdb_06426,06426,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\06426.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06426/06426_30min_w001.mem,1,1802.000,1800,1800000,1000,,train,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/06426/06426_30min_w001.mem
1,AFF_afdb_06426_w3,AFF,3,afdb,AFF_afdb_06426,afdb_06426,06426,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\06426.mem,fullrec_afe_30min_annotation_valid_balanced/val/AFF/06426/06426_30min_w003.mem,3,5402.000,1800,1800000,1000,,val,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,val/AFF/06426/06426_30min_w003.mem
2,AFF_afdb_06426_w5,AFF,3,afdb,AFF_afdb_06426,afdb_06426,06426,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\06426.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06426/06426_30min_w005.mem,5,9002.000,1800,1800000,1000,,train,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/06426/06426_30min_w005.mem
3,AFF_afdb_06426_w7,AFF,3,afdb,AFF_afdb_06426,afdb_06426,06426,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\06426.mem,fullrec_afe_30min_annotation_valid_balanced/test/AFF/06426/06426_30min_w007.mem,7,12602.000,1800,1800000,1000,,test,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,test/AFF/06426/06426_30min_w007.mem
4,AFF_afdb_06426_w10,AFF,3,afdb,AFF_afdb_06426,afdb_06426,06426,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\06426.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06426/06426_30min_w010.mem,10,18002.000,1800,1800000,1000,,train,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/06426/06426_30min_w010.mem
5,AFF_afdb_06426_w12,AFF,3,afdb,AFF_afdb_06426,afdb_06426,06426,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\06426.mem,fullrec_afe_30min_annotation_valid_balanced/val/AFF/06426/06426_30min_w012.mem,12,21602.000,1800,1800000,1000,,val,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,val/AFF/06426/06426_30min_w012.mem
6,AFF_afdb_06426_w14,AFF,3,afdb,AFF_afdb_06426,afdb_06426,06426,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\06426.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06426/06426_30min_w014.mem,14,25202.000,1800,1800000,1000,,train,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/06426/06426_30min_w014.mem
7,AFF_afdb_06426_w16,AFF,3,afdb,AFF_afdb_06426,afdb_06426,06426,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\06426.mem,fullrec_afe_30min_annotation_valid_balanced/test/AFF/06426/06426_30min_w016.mem,16,28802.000,1800,1800000,1000,,test,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,test/AFF/06426/06426_30min_w016.mem
8,AFF_afdb_06426_w18,AFF,3,afdb,AFF_afdb_06426,afdb_06426,06426,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\06426.mem,fullrec_afe_30min_annotation_valid_balanced/test/AFF/06426/06426_30min_w018.mem,18,32402.000,1800,1800000,1000,,test,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,test/AFF/06426/06426_30min_w018.mem
9,AFF_afdb_06995_w1,AFF,3,afdb,AFF_afdb_06995,afdb_06995,06995,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\AFF\06995.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06995/06995_30min_w001.mem,1,1802.000,1800,1800000,1000,,train,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/06995/06995_30min_w001.mem
10,AFF_afdb_06995_w3,AFF,3,afdb,AFF_afdb_06995,afdb_06995,06995,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\AFF\06995.mem,fullrec_afe_30min_annotation_valid_balanced/val/AFF/06995/06995_30min_w003.mem,3,5402.000,1800,1800000,1000,,val,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,val/AFF/06995/06995_30min_w003.mem
11,AFF_afdb_06995_w5,AFF,3,afdb,AFF_afdb_06995,afdb_06995,06995,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\AFF\06995.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06995/06995_30min_w005.mem,5,9002.000,1800,1800000,1000,,train,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/06995/06995_30min_w005.mem
12,AFF_afdb_06995_w7,AFF,3,afdb,AFF_afdb_06995,afdb_06995,06995,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\AFF\06995.mem,fullrec_afe_30min_annotation_valid_balanced/test/AFF/06995/06995_30min_w007.mem,7,12602.000,1800,1800000,1000,,test,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,test/AFF/06995/06995_30min_w007.mem
13,AFF_afdb_06995_w10,AFF,3,afdb,AFF_afdb_06995,afdb_06995,06995,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\AFF\06995.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06995/06995_30min_w010.mem,10,18002.000,1800,1800000,1000,,train,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/06995/06995_30min_w010.mem
14,AFF_afdb_06995_w12,AFF,3,afdb,AFF_afdb_06995,afdb_06995,06995,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\AFF\06995.mem,fullrec_afe_30min_annotation_valid_balanced/val/AFF/06995/06995_30min_w012.mem,12,21602.000,1800,1800000,1000,,val,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,val/AFF/06995/06995_30min_w012.mem
15,AFF_afdb_06995_w14,AFF,3,afdb,AFF_afdb_06995,afdb_06995,06995,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\AFF\06995.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06995/06995_30min_w014.mem,14,25202.000,1800,1800000,1000,,train,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/06995/06995_30min_w014.mem
16,AFF_afdb_06995_w16,AFF,3,afdb,AFF_afdb_06995,afdb_06995,06995,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\AFF\06995.mem,fullrec_afe_30min_annotation_valid_balanced/test/AFF/06995/06995_30min_w016.mem,16,28802.000,1800,1800000,1000,,test,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,test/AFF/06995/06995_30min_w016.mem
17,AFF_afdb_06995_w18,AFF,3,afdb,AFF_afdb_06995,afdb_06995,06995,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\AFF\06995.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06995/06995_30min_w018.mem,18,32402.000,1800,1800000,1000,,train,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/06995/06995_30min_w018.mem
18,AFF_afdb_07162_w1,AFF,3,afdb,AFF_afdb_07162,afdb_07162,07162,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe_remaining\train\AFF\07162.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/07162/07162_30min_w001.mem,1,1802.000,1800,1800000,1000,,train,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/07162/07162_30min_w001.mem
19,AFF_afdb_07162_w3,AFF,3,afdb,AFF_afdb_07162,afdb_07162,07162,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe_remaining\train\AFF\07162.mem,fullrec_afe_30min_annotation_valid_balanced/val/AFF/07162/07162_30min_w003.mem,3,5402.000,1800,1800000,1000,,val,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,val/AFF/07162/07162_30min_w003.mem
20,AFF_afdb_07162_w6,AFF,3,afdb,AFF_afdb_07162,afdb_07162,07162,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe_remaining\train\AFF\07162.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/07162/07162_30min_w006.mem,6,10802.000,1800,1800000,1000,,train,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/07162/07162_30min_w006.mem
21,AFF_afdb_07162_w8,AFF,3,afdb,AFF_afdb_07162,afdb_07162,07162,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe_remaining\train\AFF\07162.mem,fullrec_afe_30min_annotation_valid_balanced/test/AFF/07162/07162_30min_w008.mem,8,14402.000,1800,1800000,1000,,test,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,test/AFF/07162/07162_30min_w008.mem
22,AFF_afdb_07162_w11,AFF,3,afdb,AFF_afdb_07162,afdb_07162,07162,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe_remaining\train\AFF\07162.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/07162/07162_30min_w011.mem,11,19802.000,1800,1800000,1000,,train,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/07162/07162_30min_w011.mem
23,AFF_afdb_07162_w13,AFF,3,afdb,AFF_afdb_07162,afdb_07162,07162,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe_remaining\train\AFF\07162.mem,fullrec_afe_30min_annotation_valid_balanced/val/AFF/07162/07162_30min_w013.mem,13,23402.000,1800,1800000,1000,,val,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,val/AFF/07162/07162_30min_w013.mem
24,AFF_afdb_07162_w16,AFF,3,afdb,AFF_afdb_07162,afdb_07162,07162,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe_remaining\train\AFF\07162.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/07162/07162_30min_w016.mem,16,28802.000,1800,1800000,1000,,train,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/07162/07162_30min_w016.mem
25,AFF_afdb_07162_w18,AFF,3,afdb,AFF_afdb_07162,afdb_07162,07162,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe_remaining\train\AFF\07162.mem,fullrec_afe_30min_annotation_valid_balanced/test/AFF/07162/07162_30min_w018.mem,18,32402.000,1800,1800000,1000,,test,train,0,native_fs=250;linear_resample;xmodelmatch_emulator,test/AFF/07162/07162_30min_w018.mem
26,AFF_afdb_07859_w1,AFF,3,afdb,AFF_afdb_07859,afdb_07859,07859,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\07859.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/07859/07859_30min_w001.mem,1,1802.000,1800,1800000,1000,,train,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/07859/07859_30min_w001.mem
27,AFF_afdb_07859_w3,AFF,3,afdb,AFF_afdb_07859,afdb_07859,07859,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\07859.mem,fullrec_afe_30min_annotation_valid_balanced/val/AFF/07859/07859_30min_w003.mem,3,5402.000,1800,1800000,1000,,val,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,val/AFF/07859/07859_30min_w003.mem
28,AFF_afdb_07859_w5,AFF,3,afdb,AFF_afdb_07859,afdb_07859,07859,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\07859.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/07859/07859_30min_w005.mem,5,9002.000,1800,1800000,1000,,train,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/07859/07859_30min_w005.mem
29,AFF_afdb_07859_w7,AFF,3,afdb,AFF_afdb_07859,afdb_07859,07859,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\07859.mem,fullrec_afe_30min_annotation_valid_balanced/test/AFF/07859/07859_30min_w007.mem,7,12602.000,1800,1800000,1000,,test,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,test/AFF/07859/07859_30min_w007.mem
30,AFF_afdb_07859_w9,AFF,3,afdb,AFF_afdb_07859,afdb_07859,07859,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\07859.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/07859/07859_30min_w009.mem,9,16202.000,1800,1800000,1000,,train,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/07859/07859_30min_w009.mem
31,AFF_afdb_07859_w11,AFF,3,afdb,AFF_afdb_07859,afdb_07859,07859,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\07859.mem,fullrec_afe_30min_annotation_valid_balanced/val/AFF/07859/07859_30min_w011.mem,11,19802.000,1800,1800000,1000,,val,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,val/AFF/07859/07859_30min_w011.mem
32,AFF_afdb_07859_w13,AFF,3,afdb,AFF_afdb_07859,afdb_07859,07859,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\07859.mem,fullrec_afe_30min_annotation_valid_balanced/train/AFF/07859/07859_30min_w013.mem,13,23402.000,1800,1800000,1000,,train,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,train/AFF/07859/07859_30min_w013.mem
33,AFF_afdb_07859_w15,AFF,3,afdb,AFF_afdb_07859,afdb_07859,07859,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\AFF\07859.mem,fullrec_afe_30min_annotation_valid_balanced/test/AFF/07859/07859_30min_w015.mem,15,27002.000,1800,1800000,1000,,test,test,0,native_fs=250;linear_resample;xmodelmatch_emulator,test/AFF/07859/07859_30min_w015.mem
34,ARR_mitdb_100_w0,ARR,2,mitdb,ARR_mitdb_100,mitdb_100,100,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe_remaining\train\ARR\100.mem,fullrec_afe_30min_annotation_valid_balanced/val/ARR/100/100_30min_w000.mem,0,2.000,1800,1800000,1000,,val,train,0,native_fs=360;linear_resample;xmodelmatch_emulator,val/ARR/100/100_30min_w000.mem
35,ARR_mitdb_102_w0,ARR,2,mitdb,ARR_mitdb_102,mitdb_102,102,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\ARR\102.mem,fullrec_afe_30min_annotation_valid_balanced/val/ARR/102/102_30min_w000.mem,0,2.000,1800,1800000,1000,,val,train,0,native_fs=360;linear_resample;xmodelmatch_emulator,val/ARR/102/102_30min_w000.mem
36,ARR_mitdb_104_w0,ARR,2,mitdb,ARR_mitdb_104,mitdb_104,104,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\ARR\104.mem,fullrec_afe_30min_annotation_valid_balanced/val/ARR/104/104_30min_w000.mem,0,2.000,1800,1800000,1000,,val,train,0,native_fs=360;linear_resample;xmodelmatch_emulator,val/ARR/104/104_30min_w000.mem
