case_id,label,expected_class,pred_class,pred_valid,correct,beat_count,pnn_match_count,pnn_mismatch_count,dscr_flip_count,dscr_slope_count,ram_code_sum,ram_code_count,rdm_valid_count,rdm_code_sum,rdm_ge10_count,rdm_ge20_count,rdm_ge30_count,rdm_ge40_count,rdm_ge50_count,rdm_ge60_count,rdm_ge70_count,rdm_ge80_count,rdm_ge90_count,rdm_ge100_count,rdm_ge110_count,rdm_ge120_count,rdm_ge130_count,rdm_ge140_count,rdm_ge150_count,score_nsr,score_chf,score_arr,score_aff,ectopic_pair_count,rr_alt_count,amp_jump_count,width_jump_count,qrs_maf_valid_count,qrs_maf_count,qrs_maf_code_sum,qrs_width_abn_count,qrs_complex_abn_count,qrs_energy_abn_count,qrs_terminal_delay_count,qrs_late_energy_count,qrs_asymmetry_count,qrs_peak_to_tail_count,qrs_pvc_like_count,qrs_rbbb_like_count,qrs_maf_width_sum,qrs_maf_complex_sum,qrs_maf_energy_sum,qrs_maf_late_event_sum,qrs_maf_late_energy_sum,qrs_maf_asymmetry_sum,qrs_maf_peak_tail_sum,qrs_template_mismatch_count,qrs_template_strong_count,qrs_template_width_count,qrs_template_energy_count,qrs_template_tail_count,qrs_template_score_sum,qrs_template_ready_count,abnormal_beat_valid_count,abnormal_beat_count,abnormal_beat_mid_count,abnormal_beat_high_count,abnormal_beat_strong_count,abnormal_beat_score_sum,rbbb_delay_valid_count,rbbb_delay_wide_count,rbbb_delay_terminal_count,rbbb_delay_like_count,rbbb_delay_segment_count,rbbb_delay_applied_count,pre_qrs_bump_count,eerg_gate_count,eerg_applied_count,eerg_pre_qrs_bump_count,eerg_early_count,eerg_ecp_count,eerg_pnn_decision_count,eerg_pnn_mismatch_count,eerg_rdm_valid_count,eerg_rdm_code_sum,score_arr_before_eerg,mem_file
0,NSR,0,0,1,1,85,82,0,168,4579,1886,82,83,94,49,25,11,3,2,2,1,1,0,0,0,0,0,0,0,-21439,-67938,-65011,-133186,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,3730,167,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,84,0,0,84,0,0,82,0,83,94,-65011,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0000_NSR_16265_60s_1640000ms.mem
1,NSR,0,0,1,1,79,77,0,157,4397,1831,77,77,145,55,36,26,14,7,3,2,2,0,0,0,0,0,0,0,-4372,-76857,-45770,-151334,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,4597,157,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,1,0,0,0,79,0,0,79,0,0,77,0,77,145,-45770,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0001_NSR_16265_60s_3280000ms.mem
2,NSR,0,0,1,1,80,77,1,159,4410,1848,77,78,206,58,45,38,21,14,11,7,5,3,3,1,0,0,0,0,25422,-82267,-69987,-153363,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,3940,159,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,80,0,0,80,0,0,78,1,78,206,-69987,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0002_NSR_16265_60s_5450000ms.mem
3,NSR,0,0,1,1,86,84,0,171,4744,2014,84,84,119,48,27,18,13,8,4,1,0,0,0,0,0,0,0,0,-6645,-55040,-97767,-145303,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,3840,171,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,86,0,0,86,0,0,84,0,84,119,-97767,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0003_NSR_16265_60s_14140000ms.mem
4,NSR,0,0,1,1,99,97,0,197,5585,2289,97,97,91,57,24,6,3,1,0,0,0,0,0,0,0,0,0,0,-68292,-80125,-62122,-138175,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,4489,197,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,99,0,0,99,0,0,97,0,97,91,-62122,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0004_NSR_16265_60s_16070000ms.mem
5,NSR,0,0,1,1,81,79,0,161,4426,1893,78,79,198,55,41,36,24,16,9,6,4,2,2,2,1,0,0,0,22302,-69394,-85636,-153008,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,3577,159,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,80,0,0,80,0,0,79,0,79,198,-85636,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0005_NSR_16265_60s_28770000ms.mem
6,NSR,0,0,1,1,82,78,2,163,4720,1950,78,80,185,55,42,29,20,13,7,5,4,2,2,2,2,1,1,0,-5690,-71133,-66873,-151882,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,3763,163,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,82,0,0,82,0,0,80,2,80,185,-66873,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0006_NSR_16265_60s_33930000ms.mem
7,NSR,0,0,1,1,62,59,1,123,3356,1400,59,60,232,52,50,39,27,22,14,10,7,3,2,2,1,1,1,1,54569,-75451,-41076,-150971,2,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,3295,123,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,62,0,0,62,3,2,60,1,60,232,-41076,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0007_NSR_16265_60s_42510000ms.mem
8,NSR,0,0,1,1,77,75,0,153,4450,1874,75,75,151,61,39,25,14,7,3,2,0,0,0,0,0,0,0,0,-21903,-95283,-7291,-159088,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,3820,153,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,77,0,0,77,0,0,75,0,75,151,-7291,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0008_NSR_16265_60s_49070000ms.mem
9,NSR,0,0,1,1,66,63,1,131,3860,1545,63,64,200,52,45,30,24,15,11,7,4,4,3,1,1,1,1,1,18666,-74756,-35645,-144603,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,4136,131,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,66,0,0,66,0,0,64,1,64,200,-35645,C:/Users/YangGeon/SNN_ECG_RESTORE_MODEL_S/datasets/afe_output_xmodelmatch_curated_v2_50_25_25/signed/train/0009_NSR_16265_60s_49520000ms.mem
