artifact_id,component,owner,upstream_repository,upstream_commit,upstream_path,integrated_path,sha256,size_bytes,artifact_type,claim_supported,report_section,verification_status,notes
ART-00001,matlab_prevalidation,서민우,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,.gitattributes,components/matlab_prevalidation/.gitattributes,9f9575c24b4a716f06d2860b1a2f689b9214ff44cd6637d9f15b1621db733e67,383,component artifact,component snapshot provenance; see claim registry for promoted claims,component evidence as mapped by REPORT_EVIDENCE_MAP_KR.md,HASH_VERIFIED_CURATED_EXPORT,retained byte content exported from fixed Git commit; intentionally omitted paths are in exclusion registries
ART-00002,matlab_prevalidation,서민우,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,matlab_afe_validation/active_twin_t_response.m,components/matlab_prevalidation/matlab_afe_validation/active_twin_t_response.m,882cddbb1a390a68b5455c90a5fcbbd1ece028e826f4e377e9d52050a52d1d5a,1570,MATLAB source,component snapshot provenance; see claim registry for promoted claims,component evidence as mapped by REPORT_EVIDENCE_MAP_KR.md,HASH_VERIFIED_CURATED_EXPORT,retained byte content exported from fixed Git commit; intentionally omitted paths are in exclusion registries
ART-00003,matlab_prevalidation,서민우,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,matlab_afe_validation/afe_adc_model.m,components/matlab_prevalidation/matlab_afe_validation/afe_adc_model.m,ebb17b2083a797b011dba6b11f3695790802c0fb8758cef61f4b41c90d27f99e,1721,MATLAB source,component snapshot provenance; see claim registry for promoted claims,component evidence as mapped by REPORT_EVIDENCE_MAP_KR.md,HASH_VERIFIED_CURATED_EXPORT,retained byte content exported from fixed Git commit; intentionally omitted paths are in exclusion registries
ART-00004,matlab_prevalidation,서민우,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,matlab_afe_validation/afe_adc_params.m,components/matlab_prevalidation/matlab_afe_validation/afe_adc_params.m,2532dff194eb9b9afc9e36cc11186260f57a95296a037ad921aca79657a3d9c1,1387,MATLAB source,component snapshot provenance; see claim registry for promoted claims,component evidence as mapped by REPORT_EVIDENCE_MAP_KR.md,HASH_VERIFIED_CURATED_EXPORT,retained byte content exported from fixed Git commit; intentionally omitted paths are in exclusion registries
ART-00005,matlab_prevalidation,서민우,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,matlab_afe_validation/design_afe_filters.m,components/matlab_prevalidation/matlab_afe_validation/design_afe_filters.m,2012786ccf4abad2e4ed51dc3ab5c3e7c3cdd37ffcb04540b225d061623fce03,1608,MATLAB source,component snapshot provenance; see claim registry for promoted claims,component evidence as mapped by REPORT_EVIDENCE_MAP_KR.md,HASH_VERIFIED_CURATED_EXPORT,retained byte content exported from fixed Git commit; intentionally omitted paths are in exclusion registries
ART-00006,matlab_prevalidation,서민우,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,matlab_afe_validation/docs/adc_code_mapping_convention.md,components/matlab_prevalidation/matlab_afe_validation/docs/adc_code_mapping_convention.md,49abe431c5035c15d239affc804f53c068730a11a2b53fad4e970f9229c35c66,4474,documentation,component snapshot provenance; see claim registry for promoted claims,component evidence as mapped by REPORT_EVIDENCE_MAP_KR.md,HASH_VERIFIED_CURATED_EXPORT,retained byte content exported from fixed Git commit; intentionally omitted paths are in exclusion registries
ART-00007,matlab_prevalidation,서민우,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,matlab_afe_validation/docs/afe_adc_parameter_reference.md,components/matlab_prevalidation/matlab_afe_validation/docs/afe_adc_parameter_reference.md,0b2f561abdf7306697eda30112f12d6a5cf5ddfbefbf9738d3bcc7b6c4418e50,2338,documentation,component snapshot provenance; see claim registry for promoted claims,component evidence as mapped by REPORT_EVIDENCE_MAP_KR.md,HASH_VERIFIED_CURATED_EXPORT,retained byte content exported from fixed Git commit; intentionally omitted paths are in exclusion registries
ART-00008,matlab_prevalidation,서민우,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,matlab_afe_validation/docs/dynamic_range_headroom_reference.md,components/matlab_prevalidation/matlab_afe_validation/docs/dynamic_range_headroom_reference.md,c3d2c2ec2296618ac143f5fae57efdada2e1bf857d25ac3bf845e94f8ba36178,1540,documentation,component snapshot provenance; see claim registry for promoted claims,component evidence as mapped by REPORT_EVIDENCE_MAP_KR.md,HASH_VERIFIED_AF_NORMALIZED,"integrated artifact after AF class-label normalization; classifier arithmetic, class ID, and numeric evidence are unchanged"
ART-00009,matlab_prevalidation,서민우,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,matlab_afe_validation/docs/frequency_response_reference.md,components/matlab_prevalidation/matlab_afe_validation/docs/frequency_response_reference.md,5658f2f9bf6da1f630a1fa7dfaa1c8fbd9579e831dad867949ab6a4d8a0fee14,6693,documentation,component snapshot provenance; see claim registry for promoted claims,component evidence as mapped by REPORT_EVIDENCE_MAP_KR.md,HASH_VERIFIED_CURATED_EXPORT,retained byte content exported from fixed Git commit; intentionally omitted paths are in exclusion registries
ART-00010,matlab_prevalidation,서민우,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,matlab_afe_validation/docs/INPUT_DATASET_MANIFEST.md,components/matlab_prevalidation/matlab_afe_validation/docs/INPUT_DATASET_MANIFEST.md,54032c0b1b8056b6992536dc28577710fb20d5bc74a8a3672255658888928048,5344,documentation,component snapshot provenance; see claim registry for promoted claims,component evidence as mapped by REPORT_EVIDENCE_MAP_KR.md,HASH_VERIFIED_AF_NORMALIZED,"integrated artifact after AF class-label normalization; classifier arithmetic, class ID, and numeric evidence are unchanged"
