reference_id,topic,title,organization_or_authors,publication_type,publication_date,URL_or_identifier,authoritative_status,claim_supported,direct_quote_used,notes
EXT-001,consumer wearable ECG scope,De Novo Classification Request for ECG App DEN180044,U.S. Food and Drug Administration,regulatory decision summary,2018-08-14,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN180044.pdf,AUTHORITATIVE,"A representative regulated consumer single-lead ECG app document describes rhythm-screening centered on sinus rhythm and atrial fibrillation; this is a product-specific example rather than a claim about all wearables",false,"Report sections 1.1 and 8.7 use this only for functional-scope background; no sensitivity/specificity or commercial comparison is imported"
EXT-002,ambulatory ECG duration,2018 ACC/AHA/HRS Guideline on Bradycardia and Cardiac Conduction Delay,ACC/AHA/HRS,peer-reviewed clinical guideline,2018,https://doi.org/10.1161/CIR.0000000000000628,AUTHORITATIVE,"Ambulatory ECG monitoring duration is selected according to symptom frequency; 24/48-hour Holter and longer modalities are established contexts",false,"Report sections 1.1 2.2 and 8.2 use this only for conservative long-duration motivation; not a performance comparator"
EXT-003,NSR source database,MIT-BIH Normal Sinus Rhythm Database v1.0.0,George Moody / PhysioNet,official dataset record,1999-08-03,https://physionet.org/content/nsrdb/1.0.0/,AUTHORITATIVE,"NSR-class records originate from fixed version nsrdb 1.0.0; DOI 10.13026/C2NK5R; file license ODC-By 1.0",false,"Raw files are fetched from PhysioNet and not bundled; standard PhysioNet citation required"
EXT-004,CHF source database,BIDMC Congestive Heart Failure Database v1.0.0,PhysioNet,official dataset record,2000-10-14,https://physionet.org/content/chfdb/1.0.0/,AUTHORITATIVE,"CHF-labelled records originate from fixed version chfdb 1.0.0; DOI 10.13026/C29G60; file license ODC-By 1.0",false,"CHF is a source-dataset label; cite Baim et al. and standard PhysioNet citation"
EXT-005,ARR source database,MIT-BIH Arrhythmia Database v1.0.0,George Moody and Roger Mark / PhysioNet,official dataset record,2005-02-24,https://physionet.org/content/mitdb/1.0.0/,AUTHORITATIVE,"ARR-labelled records originate from fixed version mitdb 1.0.0; the database contains 48 half-hour excerpts selected from a set of 24-hour ambulatory ECG recordings; DOI 10.13026/C2F305; file license ODC-By 1.0",false,"ARR is a broad source-dataset category; the half-hour duration constrains the common four-class evaluation window; cite Moody and Mark 2001 and standard PhysioNet citation"
EXT-006,AF source database,MIT-BIH Atrial Fibrillation Database v1.0.0,George Moody and Roger Mark / PhysioNet,official dataset record,2000-11-04,https://physionet.org/content/afdb/1.0.0/,AUTHORITATIVE,"AF-labelled records originate from fixed version afdb 1.0.0; DOI 10.13026/C2MW2D; file license ODC-By 1.0",false,"Raw files are not bundled; cite Moody and Mark 1983 and standard PhysioNet citation"
EXT-007,dataset license,Open Data Commons Attribution License v1.0,Open Data Commons,license text,2010,https://opendatacommons.org/licenses/by/1-0/,AUTHORITATIVE,"Attribution license referenced by each of the four fixed-version PhysioNet dataset pages",false,"Repository does not relicense third-party data and deliberately omits raw waveform files"
EXT-008,PhysioNet citation,"PhysioBank PhysioToolkit and PhysioNet: Components of a New Research Resource for Complex Physiologic Signals",Goldberger AL et al.,peer-reviewed publication,2000,https://doi.org/10.1161/01.CIR.101.23.e215,AUTHORITATIVE,"Standard PhysioNet citation requested by the fixed-version dataset pages; RRID:SCR_007345",false,"Use together with dataset-specific original publication where requested"
EXT-009,individual heartbeat SNN,"ECG Classification Algorithm Based on STDP and R-STDP Neural Networks for Real-Time Monitoring on Ultra Low-Power Personal Wearable Devices",Alireza Amirshahi and Matin Hashemi,IEEE TBioCAS journal article,2019,https://doi.org/10.1109/TBCAS.2019.2948920,AUTHORITATIVE,"Individual R-peak-centered heartbeat segments are amplitude-to-spike encoded; STDP learns timing features and reward/punishment R-STDP assigns heartbeat classes",false,"Not a long-record or Snapshot-to-record classifier; method cross-checked against author manuscript arXiv:1905.02954"
EXT-010,event-driven continuous ECG anomaly,"Real-Time Ultra-Low Power ECG Anomaly Detection Using an Event-Driven Neuromorphic Processor",Felix Christian Bauer / Dylan Richard Muir / Giacomo Indiveri,IEEE TBioCAS journal article,2019,https://doi.org/10.1109/TBCAS.2019.2953001,AUTHORITATIVE,"Asynchronous binary ECG events feed a recurrent SNN reservoir and low-pass readout whose threshold produces a pathological-pattern trigger on DYNAP hardware",false,"Continuous event-driven detection; no multi-disease Snapshot evidence accumulation to record-level class"
EXT-011,LC-ADC SCNN co-design,"An Event-Driven Compressive Neuromorphic System for Cardiac Arrhythmia Detection",Jinbo Chen / Fengshi Tian / Jie Yang / Mohamad Sawan,IEEE ISCAS conference paper,2022,https://ieeexplore.ieee.org/document/9937756/,AUTHORITATIVE,"Level-crossing ADC event output directly feeds an SCNN evaluated for selected MIT-BIH heartbeat classes",false,"Conference publication verified; simulation-based input compression and beat classification rather than long-record aggregation"
EXT-012,multiple instance ECG,"Multiple Instance Learning for ECG Risk Stratification",Divya Shanmugam / Davis Blalock / John Guttag,PMLR conference paper,2019,https://proceedings.mlr.press/v106/shanmugam19a.html,AUTHORITATIVE,"Consecutive-beat instances from approximately 48-hour ECG are scored and the highest-risk 20 percent are averaged into patient-level cardiovascular-death risk",false,"Closest conceptual precedent for sparse pathological instances; binary prognosis software not RTL four-class classification"
EXT-013,variable-length four-class ECG,"Convolutional Recurrent Neural Networks for Electrocardiogram Classification",Martin Zihlmann / Dmytro Perekrestenko / Michael Tschannen,Computing in Cardiology conference paper,2017,https://doi.org/10.22489/CinC.2017.070-060,AUTHORITATIVE,"CNN local features from 9-to-61-second ECG are aggregated by temporal averaging or bidirectional LSTM into normal AF other or noisy record class",false,"Shows record-level four-class classification already exists; different classes length software model and implementation"
EXT-014,24-hour Holter temporal integration,"Modeling day-long ECG signals to predict heart failure risk with explainable AI",Eran Zvuloni et al.,npj Digital Medicine journal article,2026,https://doi.org/10.1038/s41746-026-02835-8,AUTHORITATIVE,"A 30-second window encoder and Transformer sequential head integrate 24-hour Holter features into a five-year HF risk score",false,"DeepHHF publication status re-verified as journal article; binary prognosis software not four-class RTL"
