case_id_num,case_name,expected_class,xmodel_adc_status,xmodel_adc_file,input_sample_count,input_signed_min,input_signed_max,direct_accepted_input_sha256,replay_input_sha256,input_sha256_match,direct_final_pred_class,replay_final_pred_class,final_class_bitexact,direct_final_mem_nsr,replay_final_mem_nsr,mem_nsr_bitexact,direct_final_mem_chf,replay_final_mem_chf,mem_chf_bitexact,direct_final_mem_arr,replay_final_mem_arr,mem_arr_bitexact,direct_final_mem_af,replay_final_mem_af,mem_af_bitexact,all_four_membranes_bitexact,direct_accepted_samples,replay_accepted_samples,accepted_samples_ok,direct_snapshots,replay_snapshots,snapshots_ok,direct_final_valid,replay_final_valid,direct_final_decisions,replay_final_decisions,one_final_decision_ok,direct_prof_total_cycles,replay_prof_total_cycles,legacy_emulator_input_sha256,xmodel_vs_legacy_emulator_input_same,legacy_emulator_vivado_pred,legacy_emulator_vivado_mem_nsr,legacy_emulator_vivado_mem_chf,legacy_emulator_vivado_mem_arr,legacy_emulator_vivado_mem_af,case_pass,case_status
9,AFF_afdb_06995_chunk01,3,PRESENT_VALID,datasets/xmodel_afe_adc_outputs/representative_4case/accepted_AFF_afdb_06995_chunk01.mem,1800000,-586,371,aa1ad761304577bc5b0e155662eae8b3ef92764a8c8a87bb4ec45bc3fde5ac33,aa1ad761304577bc5b0e155662eae8b3ef92764a8c8a87bb4ec45bc3fde5ac33,True,3,3,True,0,0,True,0,0,True,0,0,True,30,30,True,True,1800000,1800000,True,30,30,True,1,1,1,1,True,36000612,5401260,fe984d3ac4957c3f0236f36ae517e47df26af2f7dfdf8bcbb15a61035cebb7a3,False,3,0,0,0,30,True,PASS
10,AFF_afdb_06995_chunk03,3,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,a7d6dbd67666581261b7d58b6f674d0e6fcb0378378b39483e78d4c815e5d47f,,3,0,0,5,25,False,MISSING_XMODEL_ADC
11,AFF_afdb_06995_chunk05,3,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,e7c0e16c78778b75e6e7f35d6e92e557b688e3805da46663153924abaf24df78,,3,10,-15,14,31,False,MISSING_XMODEL_ADC
12,AFF_afdb_06995_chunk07,3,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,a62fc2ba7a5466d4457fa223f136df88da7c43e6b0ab6ebdab221eaed29c1455,,2,12,0,17,1,False,MISSING_XMODEL_ADC
13,AFF_afdb_06995_chunk10,3,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,d30b6af5c747b19e2ca1c79c33d99ca656e334e45293d617df0c73c7b2b2b9f6,,0,17,0,8,5,False,MISSING_XMODEL_ADC
14,AFF_afdb_06995_chunk12,3,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,6c1da7b13004485078533fcb70c9fac0ba1f132f92d7a743d1e3b6d818544594,,3,7,0,8,15,False,MISSING_XMODEL_ADC
15,AFF_afdb_06995_chunk14,3,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,7220ebd132794991ded661f0187cc58d067a977f7f6e59709599e93b1464d03d,,3,2,0,0,28,False,MISSING_XMODEL_ADC
16,AFF_afdb_06995_chunk16,3,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,48cab839586a8abfb3f2d0f89489817af1ed16bd52f4b41410591b237d121837,,3,0,0,0,30,False,MISSING_XMODEL_ADC
17,AFF_afdb_06995_chunk18,3,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,37ecff187d0bb43e96526c9b9bb534a110102c96c355bfccec38fee975572321,,3,0,0,0,30,False,MISSING_XMODEL_ADC
35,ARR_mitdb_102_chunk00,2,PRESENT_VALID,datasets/xmodel_afe_adc_outputs/representative_4case/accepted_ARR_mitdb_102_chunk00.mem,1800000,-359,378,9598048fc02782870d749ae54ceea063e4d08ab3b5e2c844d58046743d0ae6e6,9598048fc02782870d749ae54ceea063e4d08ab3b5e2c844d58046743d0ae6e6,True,2,2,True,0,0,True,3,3,True,27,27,True,0,0,True,True,1800000,1800000,True,30,30,True,1,1,1,1,True,36000612,5401260,99a94295c8ee6d70da30ee93f543035a6b78202244880b923256c4a5f5db5fc5,False,2,0,1,29,0,True,PASS
37,ARR_mitdb_105_chunk00,2,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,85f3a1fc2f060a4b153c33a799df0a60ecc4d59b17d93a873cb689c174239b6c,,2,8,1,21,0,False,MISSING_XMODEL_ADC
45,ARR_mitdb_118_chunk00,2,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,cbe8acf71a0193dd6d26425d3495d8d90523ecd8eb671af7cb7d444e5abe1f91,,2,7,1,21,1,False,MISSING_XMODEL_ADC
49,ARR_mitdb_202_chunk00,2,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,f5c9160169aff6898b2a0220481b7086061df4fdd3a91b3364be96c9e4105413,,0,15,0,4,11,False,MISSING_XMODEL_ADC
52,ARR_mitdb_208_chunk00,2,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,1a8bf1ad0ac97ebff7acdcaf23dbdf48d9c1afafe9252f0310557af2a90f1e43,,2,1,0,20,9,False,MISSING_XMODEL_ADC
56,ARR_mitdb_214_chunk00,2,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,712de2a81e592b6672888b12e924c909294595197a410b1f0e4b0d9d4a729e31,,2,0,0,30,0,False,MISSING_XMODEL_ADC
58,ARR_mitdb_217_chunk00,2,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,00742ba0e768403b9a248c22cdfc2e72cd16596ad06835339c7ee5d3c9317de9,,2,0,0,30,0,False,MISSING_XMODEL_ADC
60,ARR_mitdb_220_chunk00,2,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,5c110d1f08e690e5cf545bf721bc81daa4fbc82f2b18b8a78825fffee279c461,,0,27,0,3,0,False,MISSING_XMODEL_ADC
64,ARR_mitdb_231_chunk00,2,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,d76ab5823cc7d5496713d78186a6e22ba68c57d3386af5ea74484c090a9ea939,,2,6,0,24,0,False,MISSING_XMODEL_ADC
83,CHF_chfdb_chf06_chunk06,1,PRESENT_VALID,datasets/xmodel_afe_adc_outputs/representative_4case/accepted_CHF_chfdb_chf06_chunk06.mem,1800000,-333,364,9d87db70fc9224c8fab7f2e035dec32201da14b79b1f61df015937974b221417,9d87db70fc9224c8fab7f2e035dec32201da14b79b1f61df015937974b221417,True,1,1,True,0,0,True,33,33,True,0,0,True,7,7,True,True,1800000,1800000,True,30,30,True,1,1,1,1,True,36000612,5401260,a309866d9e85206b07b880de95ed53f8e07b2aa000a8a8b2310a944f1ad7a3a6,False,1,0,35,2,3,True,PASS
84,CHF_chfdb_chf06_chunk19,1,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,391daf86765abd24dfcbe1429b765422553f5320cc7adc8054fc6e63f5c94426,,3,1,-3,10,32,False,MISSING_XMODEL_ADC
85,CHF_chfdb_chf06_chunk32,1,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,37a96f7d345869500f069ee3e579c1b731d09e55ca80d1c848e16407687f89a5,,1,0,42,4,-6,False,MISSING_XMODEL_ADC
86,CHF_chfdb_chf07_chunk09,1,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,66f80c09125492f7c2a2ec6d721b24174d017c93102b9282bf49ccdc1141949f,,1,0,25,4,1,False,MISSING_XMODEL_ADC
87,CHF_chfdb_chf07_chunk29,1,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,8b96d5a5f6f040cec7caa92b18b825fda2d687b36f357b07a60bb5848538534a,,3,0,-3,9,34,False,MISSING_XMODEL_ADC
90,CHF_chfdb_chf09_chunk09,1,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,f9c9c315d6b5e2eae6adb036b959b9c89b0a24b3dae559a573d89532377697c7,,0,17,12,1,0,False,MISSING_XMODEL_ADC
91,CHF_chfdb_chf09_chunk29,1,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,5b5d89f8424f8778583799e97fc66456e0130c1d03f813770d34573e1387e4db,,1,0,29,0,1,False,MISSING_XMODEL_ADC
100,CHF_chfdb_chf15_chunk03,1,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,0e2b422b4ba8bfc72a3c19c4d5deb48396f13bee39d87cd0a53fc34a4aa7468f,,1,2,27,1,0,False,MISSING_XMODEL_ADC
101,CHF_chfdb_chf15_chunk09,1,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,aab031ac3e0065e6bf8844662f5a64ac3ce95a26700826ece1667f2ffbdce183,,1,0,25,5,0,False,MISSING_XMODEL_ADC
104,NSR_nsrdb_16272_chunk03,0,PRESENT_VALID,datasets/xmodel_afe_adc_outputs/representative_4case/accepted_NSR_nsrdb_16272_chunk03.mem,1800000,-293,455,71541d54f921632c229570d0b1298ec6d87653eb0b2e85cc1f77217c2723f541,71541d54f921632c229570d0b1298ec6d87653eb0b2e85cc1f77217c2723f541,True,0,0,True,17,17,True,0,0,True,6,6,True,7,7,True,True,1800000,1800000,True,30,30,True,1,1,1,1,True,36000612,5401260,fc626046541130cbe95cfb29bed597b8b52f55b706a40ddafb71105df4a43ecc,False,0,24,0,4,2,True,PASS
105,NSR_nsrdb_16272_chunk10,0,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,4b4bba5b02c6b548fc7b6dc55897b0e51cbbc2f5c567b3e0a509f90915cd3b4b,,0,12,0,12,6,False,MISSING_XMODEL_ADC
110,NSR_nsrdb_16483_chunk10,0,MISSING_XMODEL_ADC,,,,,,,False,,,False,,,False,,,False,,,False,,,False,False,,,False,,,False,,,,,False,,,5565bf678225f3cecee412aaacb8ea5776e6b3d71714fb9962f2ee76fba56061,,0,30,0,0,0,False,MISSING_XMODEL_ADC
